"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-03","7.83","0.02","76","56"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-04","11.41","0.51","83","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-05","6.26","0.04","71","55"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-06","3.80","0.00","65","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-07","7.83","0.17","68","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-08","7.16","0.00","67","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-09","6.71","0.00","65","45"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-10","3.80","0.00","68","46"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-11","2.91","0.00","72","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-12","4.92","0.00","76","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-13","4.47","0.00","75","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-14","2.91","0.00","76","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-15","3.80","0.00","79","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-16","4.25","0.00","81","59"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-17","5.59","0.00","83","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-18","3.80","0.21","74","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-19","4.47","0.16","70","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-20","3.36","0.00","81","63"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-21","4.92","0.00","88","65"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-22","2.91","0.00","87","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-23","2.46","0.00","90","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-24","3.58","0.00","88","65"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-25","2.91","0.00","89","67"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-26","4.25","0.00","90","68"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-27","6.93","0.00","79","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-28","5.82","0.00","67","52"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-29","8.95","0.10","68","52"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-09-30","4.92","0.00","63","46"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-01","4.47","0.00","67","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-02","3.58","0.00","74","45"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-03","8.28","0.00","82","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-04","10.96","0.02","79","66"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-05","5.14","0.06","74","51"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-06","3.80","0.18","64","56"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-07","12.97","0.10","81","64"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-08","8.50","0.00","73","62"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-09","3.80","0.08","78","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-10","7.16","0.00","69","55"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-11","12.75","0.89","60","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-12","6.04","0.00","59","49"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-13","4.25","0.00","70","57"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-14","5.59","0.17","66","60"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-15","14.32","0.02","74","47"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-16","3.58","0.00","58","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-17","11.41","0.00","68","44"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-18","10.51","0.00","67","48"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-19","9.17","0.00","70","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-20","5.59","0.00","69","41"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-21","6.04","0.00","72","50"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-22","10.07","0.00","76","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-23","12.08","0.22","67","53"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-24","17.90","0.09","55","43"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-25","5.37","0.01","51","39"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-26","4.03","0.00","54","33"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-27","9.84","0.12","60","41"
"USW00014822","DETROIT CITY AIRPORT, MI US","2017-10-28","9.40","0.00","45","38"
